,hhincome_mean,hhincome_median,educ_mean,educ_median,chigh_mean,chigh_median
carts,53559.989196145565,42500.0,5.4843335398890956,6.0,16.088917310793526,16.0
cbingo,45353.50318471337,32500.0,4.672611464968153,5.0,12.80891719745223,13.0
csportw,67479.11168510304,52500.0,5.419613877065106,6.0,13.533876130046606,13.0
ctheatre,65120.83588073877,47500.0,5.560724873630553,6.0,16.671704605235096,17.0
copera,79378.48383500558,57500.0,5.7430318860892555,6.0,20.341264532568882,20.0
cdance,68935.83439567778,52500.0,5.615051500495781,6.0,19.211720188591432,19.0
cmags,59689.854524753755,47500.0,5.437540366371165,6.0,14.07170432311674,14.0
cdiy,55210.020311903594,42500.0,5.347023217134054,6.0,14.241023229183707,14.0
cpub,57576.126294771,42500.0,5.494136329794331,6.0,13.62380958528598,13.0
cclassic,69361.96309182153,52500.0,5.705558851352435,6.0,18.644690641484022,19.0
cshop,57681.28097452495,42500.0,5.401115068325639,6.0,13.802527253760886,14.0
cresta,59256.391351314276,47500.0,5.469299148113091,6.0,13.887834570737812,14.0
ctv,56533.374629736216,42500.0,5.399500900274821,6.0,13.442691589572249,13.0
cbooks,57821.92126751808,42500.0,5.506287175574676,6.0,14.110392179023508,14.0
cgig,56434.88726336711,42500.0,5.4432921663190825,6.0,13.936667101104558,14.0
mmetal,50955.36647260785,42500.0,5.310358555823733,6.0,13.041001144449421,13.0
mreggae,55407.064992410655,42500.0,5.3529601177607065,6.0,13.814074789568098,14.0
mjazz,59094.8514987389,47500.0,5.513260923031166,6.0,15.369054087287743,15.0
mpop,57824.39913583581,42500.0,5.35727418148579,6.0,13.4817636519436,13.0
mfolk,54045.05236349266,42500.0,5.548831898823116,6.0,14.74350304813343,15.0
mclassic,60853.58340178948,47500.0,5.578849206789746,6.0,15.90124553184876,16.0
mrock,56140.010284864824,42500.0,5.501670332899724,6.0,13.312769276642452,13.0
mcountry,55337.93263441632,42500.0,5.319648677014859,6.0,14.417251245567327,14.0
