capital,educ_median,prestige_median,prestg80_median,rincome_median,wealth_median,class_median,educ_mean,prestige_mean,prestg80_mean,rincome_mean,wealth_mean,class_mean
attsprts,14.0,,46.0,11.0,,3.0,13.94847775175644,,45.702308626974485,9.968404423380727,,2.543529411764706
visitart,15.0,,47.0,12.0,,3.0,14.620374600274097,,47.66274694261524,10.243313763861709,,2.658704639412035
makeart,13.0,,44.0,11.0,,2.0,13.61763022323984,,44.3613595706619,9.750421585160202,,2.4621125143513205
autorace,12.0,,39.0,10.0,,2.0,12.709016393442623,,40.178423236514526,9.638613861386139,,2.30327868852459
camping,14.0,,44.0,11.0,,3.0,13.93815987933635,,44.972006220839816,9.78989898989899,,2.4931921331316187
garden,13.0,,44.0,11.0,,3.0,13.212435233160623,,44.086114101184066,9.716323296354991,,2.5036496350364965
dance,15.0,,49.0,12.0,,3.0,14.786975717439294,,48.65068493150685,10.396284829721361,,2.6415929203539825
gomusic,16.0,,49.0,12.0,,3.0,15.15439672801636,,49.98422712933754,10.440353460972018,,2.74562306900103
huntfish,12.0,,42.0,11.0,,2.0,13.032200357781754,,42.55268022181146,9.682577565632458,,2.3716337522441653
perform,14.0,,47.0,12.0,,3.0,14.355704697986576,,46.334117647058825,9.807570977917981,,2.595936794582393
dosports,14.0,,44.0,11.0,,3.0,14.056729699666295,,44.97597254004577,9.938686131386861,,2.5089285714285716
seemovie,14.0,,44.0,12.0,,3.0,13.85789129011133,,44.99761255115962,10.074174581637267,,2.5050903119868635
usevcr,13.0,,44.0,11.0,,2.0,13.620653319283456,,43.96536796536797,9.700719424460432,,2.481442205726405
plymusic,14.0,,46.0,11.0,,3.0,14.140845070422536,,46.6178947368421,9.915328467153286,,2.5308392315470174
readfict,14.0,,44.0,12.0,,3.0,13.855310415597742,,45.27112299465241,10.130268199233717,,2.5141242937853105
popmusic,14.0,,46.0,12.0,,3.0,14.12400354295837,,45.769160583941606,10.353971962616823,,2.5266429840142095
drama,15.0,,49.0,12.0,,3.0,14.61926192619262,,48.17007434944238,10.395140664961637,,2.6838301716350497
relart,14.0,,44.0,12.0,,3.0,13.858520900321544,,44.579470198675494,9.7981220657277,,2.5209003215434085
volarts,14.0,,46.0,12.0,,3.0,14.537777777777778,,45.885844748858446,10.024390243902438,,2.591111111111111
travelgn,14.0,,47.0,12.0,,3.0,14.377443609022556,,46.39351851851852,10.43305439330544,,2.625942684766214
gamegn,13.0,,44.0,12.0,,2.0,13.659019812304484,,44.33879781420765,10.06015037593985,,2.4806687565308256
