index,rich,poor
0,richer,poorer
1,richest,poorest
2,affluence,poverty
3,advantaged,disadvantaged
4,affluent,destitute
5,classy,beggarly
6,costly,economical
7,exorbitant,impecunious
8,expensive,inexpensive
9,exquisite,ruined
10,extravagant,necessitous
11,flush,skint
12,invaluable,cheap
13,lavish,economical
14,luxuriant,penurious
15,luxurious,threadbare
16,luxury,cheap
17,moneyed,unmonied
18,opulent,indigent
19,plush,threadbare
20,posh,plain
21,precious,cheap
22,priceless,worthless
23,privileged,underprivileged
24,propertied,bankrupt
25,prosperous,unprosperous
26,developed,underdeveloped
27,solvency,insolvency
28,successful,unsuccessful
29,sumptuous,plain
30,swanky,basic
31,opulent,needy
32,upscale,squalid
33,valuable,valueless
34,wealthy,impoverished
35,ritzy,ramshackle
36,opulence,indigence
37,solvent,insolvent
38,moneyed,moneyless
39,rich,penniless
40,affluence,penury
41,rich,poor
