index,Good,Bad
2,good,evil
3,honest,dishonest
4,good,bad
5,virtuous,sinful
6,virtue,vice
7,righteous,wicked
8,chaste,transgressive
9,prncipled,unprincipled
10,unquestionable,questionable
11,noble,nefarious
12,uncorrupt,corrupt
13,scrupulous,unscrupulous
14,altruistic,selfish
15,chivalrous,knavish
16,honest,crooked
17,commendable,reprehensible
18,pure,impure
19,dignified,undignified
20,holy,unholy
21,valiant,fiendish
22,upstanding,villainous
23,guiltless,guilty
24,decent,indecent
25,chaste,unsavory
26,righteous,odious
27,ethical,unethical
